nome,sku,quantidade,total,porcentagem_das_vendas
"Azeitona verde com alho   300g",O6WXTVFGEK,4,140.4,0.11
"Toranja ( grapefruit ) - 500g",MZEYUZ5TVM,4,139.8,0.11
"Nozes com casca 300 g",71P09UJPFY,4,92.16,0.07
"Repolho roxo 1 un",OB8B9UKZNE,4,59.96,0.05
"Castanha de Caju W4 Torrada Salgada 300 g",JP05GJSYXD,4,163.2,0.13
"Fruta do conde (pinha) - 1KG",9O9540LQLY,4,279.6,0.22
"Tomate italiano 300 g",NQC2NFE2FB,4,35.96,0.03
"Laranja pera 6 un Normal",TH0942YKG1,4,55.96,0.04
"Couve flor 2 un",HR5I6V9MG4,4,175.92,0.14
"Bandeja de Lichia 1Kg Normal",97XNFLO4RD,4,399.96,0.32
"Tamara 500g Normal",12YPQCKG36,4,139.8,0.11
"Alface crespa 1 un",39ZOXII7SW,4,31.96,0.03
"Brócolis ninja 1 un",PMG0QYJ5P1,4,87.96,0.07
"Physalis 1 bandeja Normal",KK2SHK4S4H,4,79.6,0.06
"Pimentão Amarelo 500 g",7FC0VIE9CS,4,71.96,0.06
"Melão Orange 2 un Normal",IBA0P1X98U,4,239.2,0.19
"Maçã Red graúda 6 un Normal",TOBTTB0U2S,4,207.92,0.17
"Beterraba 300 g",DC2RVAKZP9,3,14.37,0.01
"Laranja chamanhe 1kg Normal",LV4XV57N4T,3,209.7,0.17
"Mini Tangerina 1kg Normal",T9HQSCYQLJ,3,239.94,0.19
"Abacaxi perola 1 un Maduro",RO6FBVF48O,3,59.7,0.05
"Azeitona Verde com Alho 500 g",9OR13MGQVK,3,235.2,0.19
"Tiras de limão cristalizado   300g",30D8Y4ROQR,3,81,0.07
"Acelga 4 un",2RUMENVTON,3,155.88,0.13
"Mel Flores Silvestres Rei 275G",Q2GIO782LZ,3,74.97,0.06
"Rambutão 500g Normal",KLEOFDS54J,3,105,0.08
"Morango Hidroponico 500g Verde",GIK2OXJBK2,3,149.97,0.12
"Pepino Japonês 300 g",MZOZFY6P1N,3,22.5,0.02
"Pitaia vermelha 500g Normal",8L5ZNLKNRZ,3,259.9,0.21
"Banana Prata 24UN Normal",H7G1KW506D,3,191.88,0.15
"Castanha de caju W1 assada   300g",EL5YNCT6G0,3,121.5,0.1
"Beringela 300 g",1Z2SE3CBPC,3,17.97,0.01
"Escarola 1 un",75SDB18LX5,3,24,0.02
"Chuchu 500 g",K7E7N4B0M6,3,20.97,0.02
"Pepino Japonês 500 g",QPNZ2J7R2V,3,37.5,0.03
"Maracujá doce importado granadilla 300g Maduro",FSRBNCB6LJ,3,116.91,0.09
"Uva passa preta sem semente   300g",JNOQN4NPHI,3,37.8,0.03
"Figo Roxo 500g Verde",CTF9XZSW9B,3,179.89,0.14
"Milho verde 8 un",M8LOZOXUA6,3,95.94,0.08
"Acelga 1 un",FH9J0X41HY,3,38.97,0.03
"Maracujá doce importado granadilla 1Kg Maduro",3OB49GO3KN,3,389.7,0.31
"Figo turco   300g",Q7NO4L4M1K,3,91.8,0.07
"Goiaba graúda 2 un Maduro",KS8FTIYXSP,3,77.94,0.06
"Nozes pecan agridoce   300g",18VXDUD9XM,3,236.25,0.19
"Banana nanica 6 un Verde",BIG9V7PN01,3,47.7,0.04
"Cebola roxa 1 Kg",59KLTA90M4,3,75,0.06
"Achachairu 300g Normal",9TE1RFWAZD,3,134.97,0.11
"Amêndoa laminada sem pele   300g",3XN705Q7U5,3,108,0.09
"Alcachofra 1 un",D5W6J1OOVE,3,84.97,0.07
"Maçã fuji 4 un Verde",O7QTRLOEVO,3,84,0.07
"Chuchu - 500g",D2S1NXSKLF,3,20.97,0.02
"Manga Palmer 500g Verde",MS237ASFHF,3,77.97,0.06
"Toranja (grapefruit) 300g Normal",GTY3YD12OH,3,62.91,0.05
"Caqui Espanhol - 500g",SKEBHCK313,3,124.95,0.1
"Chuchu 300 g",6TKURVM348,3,12.57,0.01
"Uva Thompson 300 g Normal",EBSPQETEV7,3,46.77,0.04
"Uva Thompson 500 g Maduro",RDS8ZGMAVJ,3,77.97,0.06
"Amêndoa Laminada sem pele 300 g",HLZP8CAAL7,3,158.4,0.13
"Abobrinha - 500g",SUHA5REQBG,3,29.97,0.02
"Pitaia vermelha - 2UN",E34G0T85I7,3,179.97,0.14
"Alface americana 2 un",469AMHTEX0,3,59.94,0.05
"Maçã verde  - 3UN",BD53UYJGA6,3,65.97,0.05
"Manga Palmer 1Kg Maduro",DGHFYNU8F3,3,155.94,0.13
"Castanha do Pará extra Large   300g",HYI6ST7GCA,3,141.75,0.11
"Pimentão Verde 300 g",7I9RVSGWXC,3,26.97,0.02
"Laranja pera 24 un Normal",MBYPE5CQ2Q,3,167.88,0.13
"Atemoia 1Kg Normal",SZS66DTB7C,3,229.79,0.18
